Country,4.1_SHARE.RE.IN.ELECTRICITY,4.1.1_TOTAL.ELECTRICITY.OUTPUT
China,23.92681717,5844158,
United States,13.22859321,4297048,
India,15.34305035,1383004,
Russian Federation,15.85579515,1065623,
Japan,15.98478072,1035266,
Canada,63.01145004,670740,
Germany,29.23177012,640967,
Brazil,73.96690805,581652,
France,15.85766663,563494,
"Korea, Rep.",1.894666312,549226,
Saudi Arabia,0.000295564,338336,
United Kingdom,24.84005042,336356,
Mexico,15.39413379,311138,
Italy,38.67922518,281562,
"Iran, Islamic Rep.",5.104887878,280633,
Spain,34.94989057,277792,
Turkey,31.95662056,261783,
"Taiwan, China",3.531118867,254990,
Australia,13.63784109,252276,
South Africa,2.255041826,246736,
Indonesia,10.65115563,233984,
"Egypt, Arab Rep.",8.259285514,181977,
Thailand,8.538478848,177760,
Poland,13.80239867,164341,
Ukraine,4.381646803,162108,
Sweden,63.26274771,161931,
Vietnam,36.7320577,153283,
Malaysia,9.957168455,150123,
Argentina,28.14006912,144957,
Norway,97.70987062,143922,
United Arab Emirates,0.232401112,127366,
"Venezuela, RB",63.6950421,117590,
Pakistan,31.43034972,110861,
Netherlands,12.44208231,110070,
Kazakhstan,8.874027877,106468,
Czech Republic,11.40457054,82616,
Philippines,25.41346632,82413,
Chile,43.60433496,75387,
Belgium,20.80002301,69548,
Colombia,68.23681122,69017,
Iraq,3.731754737,68922,
Algeria,0.322683799,68798,
Finland,44.49903057,68597,
Kuwait,0,67918,
Switzerland,62.19798175,66097,
Romania,39.7469737,65922,
Israel,1.89020023,64226,
Austria,76.49077927,61763,
Bangladesh,1.226889902,59011,
Uzbekistan,20.65293296,57280,
Paraguay,99.99820608,55744,
Greece,28.65578326,51822,
Portugal,47.52637429,51281,
Singapore,1.820886641,50415,
Bulgaria,17.988593,48742,
Peru,52.73051336,48251,
New Zealand,80.08143875,44205,
Qatar,0,41499,
"Hong Kong SAR, China",0.278727321,38030,
Libya,0,37713,
Serbia,26.90517356,37595,
Belarus,0.815679831,34082,
Oman,0,32758,
Nigeria,18.19512506,31426,
Morocco,14.30889033,30820,
Hungary,10.58269066,30342,
Denmark,65.50592462,28947,
Bahrain,0,28484,
Ireland,27.96540802,28099,
Slovak Republic,22.67948333,26632,
Ecuador,52.80294232,25830,
Azerbaijan,7.039857421,24688,
Turkmenistan,0,22534,
Puerto Rico,1.837446479,21159.8,
Cuba,3.948146688,20288,
Mozambique,86.41088736,19913,
Tunisia,2.835942265,19676,
Jordan,0.967708005,19014,
Iceland,99.97872227,18799,
Dominican Republic,11.63244298,18457,
Lebanon,2.603826919,18396,
Syrian Arab Republic,2.309714222,17881,
Tajikistan,98.4733714,17162,
Lao PDR,86.36999958,16501.1,
Myanmar,58.85410144,15970,
Bosnia and Herzegovina,35.51730757,15629,
Slovenia,29.39191469,14817,
Uruguay,88.55895197,13740,
"Korea, Dem. Rep.",72.79609813,13737,
Zambia,96.99382395,13439,
Sri Lanka,48.47519345,13182,
Sudan,64.53590864,13047,
Kyrgyz Republic,85.18802763,13030,
Ghana,50.89200244,11491,
Croatia,66.82683752,11238,
Guatemala,60.39066739,11058,
Georgia,78.03932429,10833,
Costa Rica,99.00110988,10812,
Ethiopia,99.96167481,10437,
Estonia,14.4187386,10417,
Trinidad and Tobago,0,10300,
Panama,65.32634033,10296,
Angola,53.17492831,9764,
Zimbabwe,52.72427644,9709,
Kenya,87.51424723,9651,
Honduras,42.2755159,8965,
"Congo, Dem. Rep.",99.82106911,8942,
Cote d'Ivoire,16.72597865,8711,
Bolivia,31.40243902,8528,
Armenia,28.33696628,7799,
Bhutan,99.99354643,7747.654,
Cameroon,76.11719444,6758,
Tanzania,34.15409055,6295,
Kosovo,2.287955548,6119,
Moldova,5.368576588,6091,
El Salvador,57.8226749,5989,
Albania,100,5895,
"Macedonia, FYR",35.93694651,5646,
Latvia,50.17169709,5533,
Mongolia,3.083620533,5513,
"Yemen, Rep.",0,5326,
Nicaragua,50.05459707,4579,
Cyprus,8.780057357,4533,
Cambodia,46.41801228,4397,
Lithuania,39.40817285,4258,
Brunei Darussalam,0.047619048,4200,
Papua New Guinea,34.53065134,4176,
Jamaica,10.26200873,4122,
Senegal,10.41719343,3955,
Nepal,100,3503,
Uganda,92.95052698,3472.6,
Montenegro,49.65034965,3003,
Mauritius,22.72272272,2997,
Botswana,0.033704078,2967,
New Caledonia,14.09470867,2903.43,
Reunion,26.15868843,2891.2,
Suriname,60.05314438,2258,
Gabon,43.74412041,2126,
"Bahamas, The",0,2117,
Malawi,91.30682899,2102.8,
Guadeloupe,14.44937384,1780.7,
Martinique,2.699662542,1778,
"Congo, Rep.",53.34486736,1734,
Guam,0,1730.6,
Madagascar,54.59645655,1712.232,
Mali,43.51635514,1712,
Namibia,97.78645833,1536,
Luxembourg,32.38166792,1331,
Malta,7.674597084,1303,
Guinea,78.75156502,1118.2,
Guyana,0,1039.03,
Haiti,7.996146435,1038,
Afghanistan,86.05011125,1033.7,
Barbados,0,1029.29,
Mauritania,13.37325349,1002,
Burkina Faso,9.354038684,999.162,
"Macao SAR, China",0,962,
Equatorial Guinea,57.82747604,939,
Aruba,14.85616144,931.6,
French Guyana,59.15492958,923,
Fiji,45.01588482,914.395,
Curacao,3.712296984,862,
Virgin Islands (U.S.),3.877525411,796.9,
French Polynesia,32.01209739,717.51,
Bermuda,0,674.3,
Cayman Islands,0,639.86,
Lesotho,100,532.2,
Niger,0.753295669,531,
Rwanda,56.88782816,523.75,
Greenland,81.29152578,520.1739,
West Bank and Gaza,0,514.6,
Isle of Man,0.833002777,504.2,
Swaziland,46.57258065,496,
Sint Maarten (Dutch part),0,432.5,
Northern Mariana Islands,0,429.8,
Cape Verde,20.20849659,421.11,
Belize,45.23993047,416.9552778,
