Country,Ease,Cost,Access
Afghanistan,183,2275,84
Albania,58,516,100
Algeria,156,1330,99
Angola,182,1197,41
Antigua and Barbuda,113,118,97
Argentina,116,32,100
Armenia,38,80,100
Australia,15,13,100
Austria,19,96,100
Azerbaijan,65,150,100
"Bahamas, The",121,120,100
Bahrain,63,67,100
Bangladesh,176,2865,76
Barbados,117,65,100
Belarus,37,119,100
Belgium,42,102,100
Belize,112,320,92
Benin,155,12582,41
Bhutan,73,525,100
Bolivia,149,687,93
Bosnia and Herzegovina,81,400,100
Botswana,71,324,61
Brazil,123,58,100
Brunei Darussalam,72,54,100
Bulgaria,39,374,100
Burkina Faso,146,10028,19
Burundi,157,16918,8
Cambodia,131,2172,50
Cameroon,166,1597,60
Canada,22,126,100
Cape Verde,129,1027,93
Central African Republic,185,15810,14
Chad,180,8527,9
Chile,57,71,100
China,78,390,100
Colombia,53,581,99
Comoros,153,2451,78
"Congo, Dem. Rep.",184,15264,17
"Congo, Rep.",177,5469,57
Costa Rica,62,182,100
Cote d'Ivoire,142,2590,64
Croatia,43,303,100
Cyprus,45,130,100
Czech Republic,27,25,100
Denmark,3,109,100
Djibouti,171,6380,52
Dominica,101,471,100
Dominican Republic,103,267,100
Ecuador,114,606,100
"Egypt, Arab Rep.",122,245,100
El Salvador,95,502,99
Equatorial Guinea,178,1085,68
Eritrea,189,0,47
Estonia,12,173,100
Ethiopia,159,1239,43
Fiji,97,1478,99
Finland,13,28,100
France,29,6,100
Gabon,164,1102,91
"Gambia, The",145,3569,48
Georgia,16,354,100
Germany,17,41,100
Ghana,108,1266,79
Greece,61,70,100
Grenada,138,191,92
Guatemala,88,478,92
Guinea,163,6636,34
Guinea-Bissau,172,1520,15
Guyana,124,405,84
Haiti,181,3709,39
Honduras,105,775,88
"Hong Kong, China",4,1,100
Hungary,41,94,100
Iceland,20,11,100
India,130,109,85
Indonesia,91,357,98
"Iran, Islamic Rep.",120,829,100
Iraq,165,469,100
Ireland,18,62,100
Israel,52,15,100
Italy,50,158,100
Jamaica,67,232,98
Japan,34,0,100
Jordan,118,325,100
Kazakhstan,35,51,100
Kenya,92,642,56
Kiribati,152,3229,85
"Korea, Rep.",5,38,100
Kosovo,60,225,100
Kuwait,102,77,100
Kyrgyz Republic,75,858,100
Lao PDR,139,1409,87
Latvia,14,290,100
Lebanon,126,125,100
Lesotho,100,1422,30
Liberia,174,4067,20
Libya,188,442,99
Lithuania,21,44,100
Luxembourg,59,36,100
"Macedonia, FYR",10,212,100
Madagascar,167,5699,23
Malawi,133,2688,11
Malaysia,23,27,100
Maldives,135,322,100
Mali,141,2965,35
Malta,76,268,100
Marshall Islands,143,712,93
Mauritania,160,4735,42
Mauritius,49,248,99
Mexico,47,337,100
"Micronesia, Fed. Sts.",151,397,75
Moldova,44,738,100
Mongolia,64,579,82
Montenegro,51,441,100
Morocco,68,1770,100
Mozambique,137,2509,24
Myanmar,170,1270,57
Namibia,108,349,52
Nepal,107,1042,91
Netherlands,28,30,100
New Zealand,1,76,100
Nicaragua,127,904,82
Niger,150,5427,16
Nigeria,169,440,59
Norway,6,11,100
Oman,66,81,100
Pakistan,144,1772,99
Palau,136,65,99
Panama,70,9,93
Papua New Guinea,119,38,23
Paraguay,106,152,98
Peru,54,336,95
Philippines,99,26,91
Poland,24,19,100
Portugal,25,37,100
Puerto Rico,55,354,100
Qatar,83,11,100
Romania,36,547,100
Russian Federation,40,44,100
Rwanda,56,2723,29
Samoa,89,642,100
San Marino,79,59,100
Sao Tome and Principe,162,420,65
Saudi Arabia,94,31,100
Senegal,147,3822,65
Serbia,47,236,100
Seychelles,93,365,100
Sierra Leone,148,4224,20
Singapore,2,26,100
Slovak Republic,33,53,100
Slovenia,30,110,100
Solomon Islands,104,1254,48
Somalia,190,0,30
South Africa,74,156,84
South Sudan,186,0,9
Spain,32,103,100
Sri Lanka,110,769,96
St. Kitts and Nevis,134,241,100
St. Lucia,86,193,98
St. Vincent and the Grenadines,125,57,100
Sudan,168,2687,39
Suriname,158,484,87
Swaziland,111,740,66
Sweden,9,32,100
Switzerland,31,59,100
Syrian Arab Republic,173,312,100
Tajikistan,128,743,100
Tanzania,132,948,33
Thailand,46,43,100
Timor-Leste,175,1218,63
Togo,154,5508,47
Tonga,85,86,97
Trinidad and Tobago,96,177,100
Tunisia,77,697,100
Turkey,69,600,100
Uganda,115,8449,27
Ukraine,80,638,100
United Arab Emirates,26,25,100
United Kingdom,7,26,100
United States,8,24,100
Uruguay,90,13,100
Uzbekistan,87,1233,100
Vanuatu,83,1091,58
"Venezuela, RB",187,18867,100
Vietnam,82,1261,100
West Bank and Gaza,140,1541,100
"Yemen, Rep.",179,0,72
Zambia,98,610,27
Zimbabwe,161,2958,38
